"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","core_gene_count","comparison"
"mmu04060","Cytokine-cytokine receptor interaction",81,0.654749737527988,2.37864577077316,5.37865352877113e-10,1.7695770109657e-07,1.47771428527291e-07,1556,"tags=47%, list=15%, signal=40%","16175/20311/14825/20310/18414/21926/20297/13857/12981/50905/12159/21942/12977/16878/330122/15945/16169/16178/21934/18383/22035/21803/21936/16155/15979/12156/12168/242700/16164/83430/77125/100532/20304/21808/23886/16195/66102/57914","Positive NES",38,"STm_MBCD vs MBCD"
"mmu05133","Pertussis",45,0.711036171297125,2.27279126864697,2.43595998736106e-07,2.67143611947262e-05,2.23082651474118e-05,981,"tags=27%, list=9%, signal=24%","16175/18126/20311/21926/12266/16362/12475/15900/18033/26419/12369/106759","Positive NES",12,"STm_MBCD vs MBCD"
"mmu04668","TNF signaling pathway",96,0.580570779404536,2.15165843452506,2.20572693816207e-07,2.67143611947262e-05,2.23082651474118e-05,2032,"tags=43%, list=19%, signal=35%","20311/14825/20310/257632/21926/20297/22329/18035/12981/21929/12977/16362/16878/13614/330122/15945/18033/26419/12051/26399/66724/12369/16477/67384/217344/11796/208647/26410/19225/26417/20304/12633/69601/53859/26395/18710/16168/18708/12675/14102/19697","Positive NES",41,"STm_MBCD vs MBCD"
"mmu05140","Leishmaniasis",42,0.702006409697285,2.20633078873331,8.1954905576296e-07,6.74079098365034e-05,5.62900798826665e-05,892,"tags=26%, list=8%, signal=24%","16175/18126/21926/24088/18035/12266/18033/13712/21803/15170/15979","Positive NES",11,"STm_MBCD vs MBCD"
"mmu05323","Rheumatoid arthritis",45,0.691535456160389,2.21045821600593,1.065354146837e-06,7.01003028618745e-05,5.85384068051487e-05,1467,"tags=40%, list=14%, signal=35%","16175/20311/14825/20310/21926/20297/24088/12981/12977/330122/21934/21803/11972/83430/14254/20304/21808/140494","Positive NES",18,"STm_MBCD vs MBCD"
"mmu04657","IL-17 signaling pathway",60,0.627979979940299,2.13360825552516,2.27654584801479e-06,0.000124830597332811,0.000104241836198572,1482,"tags=32%, list=14%, signal=27%","20311/14825/20310/21926/20297/18035/12981/50905/21929/330122/15945/18033/26419/66724/56489/19225/26417/103213/16819","Positive NES",19,"STm_MBCD vs MBCD"
"mmu04640","Hematopoietic cell lineage",25,0.765914687367918,2.1906481917518,2.89765116792847e-06,0.000130241821266282,0.00010876056743081,560,"tags=28%, list=5%, signal=27%","16175/21926/13857/12981/12977/12475/16178","Positive NES",7,"STm_MBCD vs MBCD"
"mmu05146","Amoebiasis",53,0.635337284618689,2.11211988615808,3.1669743772956e-06,0.000130241821266282,0.00010876056743081,907,"tags=25%, list=9%, signal=23%","18126/14825/20310/21926/24088/12981/12475/18752/330122/16178/18033/21803/14676","Positive NES",13,"STm_MBCD vs MBCD"
"mmu04933","AGE-RAGE signaling pathway in diabetic complications",67,0.588217487866546,2.0507593585384,4.34382562675511e-06,0.000158790959022492,0.000132600992816735,2592,"tags=48%, list=24%, signal=36%","16175/21926/18127/22329/18754/13614/20851/18033/18712/18787/21803/26419/18762/234779/26417/18753/21808/13653/22340/18710/18708/19697/12576/20848/56458/19094/12367/15894/11652/16452/13367/16476","Positive NES",32,"STm_MBCD vs MBCD"
"mmu04380","Osteoclast differentiation",82,0.541749990090327,1.96182850011657,3.50657263494837e-05,0.00115366239689801,0.000963384692338446,2068,"tags=34%, list=19%, signal=28%","16175/21926/12703/18035/12977/19698/14389/18033/21934/18383/19016/21803/26419/100201/26399/15979/16477/234779/26417/21808/53859/26395/18710/16440/18708/12675/19697/15980","Positive NES",28,"STm_MBCD vs MBCD"
"mmu05152","Tuberculosis",105,0.511705481197251,1.92572338699607,4.06091471640206e-05,0.00121458267426934,0.00101425716840281,1586,"tags=22%, list=15%, signal=19%","16175/18126/257632/21926/24088/12266/12475/18044/18033/21803/26419/16155/53970/15979/11972/16706/83430/108960/26417/21808/140494/56632/170767","Positive NES",23,"STm_MBCD vs MBCD"
"mmu04010","MAPK signaling pathway",191,0.422627039943253,1.7091488375065,4.65111750840219e-05,0.0012751813835536,0.00106486111376577,1833,"tags=25%, list=17%, signal=21%","16175/14172/21926/71751/19099/18188/12977/19698/12475/18752/18218/17260/18099/70686/18033/13712/26407/110651/21803/26419/17762/26399/13636/20111/18479/269881/109689/26410/54635/14256/18783/13638/14254/26417/19060/12531/21808/20130/13866/14013/26406/17873/22340/26401/53859/15511/26395/56274","Positive NES",48,"STm_MBCD vs MBCD"
